id,name,artist,valence,energy,danceability,tempo,genres,duration (ms),explicit,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,mood
0rzaRSujxA0bKyjJl6vHYq,Satellite,Harry Styles,0.301,0.457,0.576,138.984,['pop'],218577,False,0,-6.473,1,0.0304,0.143,3.05e-05,0.0917,Sad
0KQRhak4Irr2CKxgQ9U6ay,MEAN!,Madeline The Person,0.433,0.416,0.502,175.191,['gen z singer-songwriter'],143960,False,7,-9.504,1,0.433,0.912,0.0,0.0934,Sad
72794Eag03xdy7TO0KNuid,Cayendo (Side A - Acoustic),Frank Ocean,0.121,0.12,0.35,68.995,"['lgbtq+ hip hop', 'neo soul']",202200,False,3,-11.104,0,0.0393,0.982,0.000289,0.103,Sad
4NehixXjPmHF9AGkTeIdzf,live alone,kikomori,0.209,0.513,0.543,149.972,[],217598,True,11,-9.9,1,0.0283,0.215,0.0,0.346,Sad
04sN26COy28wTXYj3dMoiZ,Bored,Billie Eilish,0.112,0.318,0.614,119.959,"['art pop', 'pop']",180933,False,7,-12.695,1,0.0478,0.896,0.00239,0.0795,Sad
2fhOljbX79loRcdl47SFye,Moonlight on the River,Mac DeMarco,0.43,0.478,0.662,139.98,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",422613,False,9,-8.631,1,0.0451,0.252,0.833,0.216,Sad
5VKKg5uIy24qBe6sUiJaFh,Possibility,Lykke Li,0.0772,0.311,0.285,117.813,"['art pop', 'electropop', 'indietronica', 'neo-synthpop', 'swedish electropop', 'swedish indie pop', 'swedish pop']",306440,False,0,-10.012,1,0.032,0.768,0.00183,0.0809,Sad
5wkSKyynDrfredsDRTQt7B,Never Going Back Again - Acoustic,Johnning,0.368,0.629,0.552,159.949,"['gaming edm', 'pop edm']",207928,False,11,-7.015,1,0.0317,0.303,0.0,0.31,Sad
2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo,0.338,0.443,0.395,168.924,['pop'],175933,True,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,Sad
10nyNJ6zNy2YVYLrcwLccB,No Surprises,Radiohead,0.118,0.393,0.255,76.426,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",229120,False,5,-10.654,1,0.0278,0.0577,0.00361,0.113,Sad
6nlj33XLKWHJJVDHTdlwgH,Dreaming Of The Sun,Sandra Iris,0.388,0.429,0.654,149.382,[],235716,False,2,-11.95,1,0.0466,0.715,0.00179,0.123,Sad
6dBUzqjtbnIa1TwYbyw5CM,Lovers Rock,TV Girl,0.572,0.871,0.559,104.97,['pov: indie'],213920,False,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,Sad
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",Gracie Abrams,0.151,0.455,0.445,109.885,['alt z'],167538,False,7,-6.405,1,0.0575,0.731,1.47e-06,0.124,Sad
7dDrR6vMK1JAwZZ5MIWgme,birthday cake,Dylan Conrique,0.15,0.255,0.436,113.265,"['alt z', 'singer-songwriter pop', 'social media pop']",205280,False,3,-8.623,1,0.0364,0.955,3.28e-05,0.106,Sad
365ZJWvC9ZXi0RylrHTYNC,Yellow,caravan,0.153,0.22,0.319,172.792,[],196927,False,8,-12.646,1,0.0341,0.925,0.0,0.112,Sad
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Alex Sloan,0.389,0.328,0.629,74.953,['alt z'],197732,False,11,-8.284,1,0.029,0.768,2.5e-05,0.103,Sad
4GISsjjHTA2UyM9DY4DNgY,internet crush,Jeremy Zucker,0.0954,0.325,0.369,154.046,"['alt z', 'electropop', 'pop']",202736,False,11,-9.846,1,0.0671,0.416,3.76e-05,0.361,Sad
4T2zre0jqstNJ5Gt0WG9lz,Not My Responsibility,Billie Eilish,0.0362,0.13,0.468,115.039,"['art pop', 'pop']",227680,False,1,-18.031,1,0.0571,0.454,0.927,0.0819,Sad
22txtTAz7qM0ZbuQi0LM0d,December,Liush,0.325,0.133,0.415,90.947,[],144563,False,2,-17.369,1,0.0301,0.922,0.71,0.104,Sad
2xZ0zfuDTv5LxLhEgD82PG,Awkward,SZA,0.397,0.474,0.618,119.999,"['pop', 'r&b', 'rap']",178000,True,5,-12.097,1,0.0789,0.182,0.000122,0.108,Sad
0KpWiHVmIFDTvai20likX4,drunk text,Henry Moodie,0.176,0.493,0.614,94.784,['singer-songwriter pop'],187263,False,0,-5.356,1,0.0314,0.0676,0.0,0.113,Sad
3ZBeHiRJUj1vdiU8zzGPgb,WYD Now?,Sadie Jean,0.496,0.334,0.378,181.296,"['alt z', 'singer-songwriter pop']",144667,False,1,-10.993,1,0.304,0.776,0.0,0.115,Sad
58d2fDizWMpMVnim2IDZME,RED EYES N BLUE SKIES,3ANGEL,0.0388,0.307,0.688,141.987,[],153380,True,9,-18.278,1,0.0939,0.527,0.000713,0.719,Sad
4VtRHZ4tBDHaWltVAytlLY,go,Cat Burns,0.528,0.251,0.663,90.272,['uk pop'],215000,True,6,-9.87,0,0.0435,0.88,0.0,0.0932,Sad
6pPLhloHxLWiMlAT5Xn1gw,Talk 2 Me,Montell Fish,0.181,0.126,0.464,103.176,['pittsburgh rap'],139806,False,11,-16.383,1,0.0647,0.816,3.67e-06,0.559,Sad
29Co9NKhOM5R9vWCrpkPPK,All For You,Cian Ducrot,0.335,0.268,0.551,77.079,"['irish pop', 'singer-songwriter pop']",219381,True,2,-9.954,1,0.0427,0.805,0.0,0.0977,Sad
7Dw770W1ZtqQkYDZO5jcnY,The Girl,INTRN,0.299,0.0617,0.425,135.387,['lo-fi chill'],138750,False,7,-15.142,1,0.0345,0.947,3e-06,0.11,Sad
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,0.18,0.468,0.369,94.434,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",290617,False,5,-9.013,1,0.0273,0.0205,0.566,0.109,Sad
7Ko1ZXgGku1hjFH7LIfD33,Become the Warm Jets,Current Joys,0.0844,0.227,0.44,132.354,"['lo-fi indie', 'pov: indie']",334902,False,7,-15.486,1,0.0459,0.772,0.00144,0.0951,Sad
